127.0.0.1 - - [24/Dec/2024:21:05:42 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/ HTTP/1.1" 200 28571
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/assets/user/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 697
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/assets/img/bootstrap-template.png HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/assets/img/shopping-cart-template.png HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/assets/img/b.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/assets/img/c.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/assets/img/a.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:43 +0700] "GET /BachShop/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Dec/2024:21:05:45 +0700] "GET /BachShop/san-pham/1 HTTP/1.1" 200 17573
