0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:08:59 +0700] "GET /BachShop/san-pham/3 HTTP/1.1" 200 7291
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:08:59 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:08:59 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:08:59 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:09:01 +0700] "GET /BachShop/san-pham/4 HTTP/1.1" 200 7291
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:09:01 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:09:01 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:09:01 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:09:02 +0700] "GET /BachShop/san-pham/1 HTTP/1.1" 200 7291
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:09:02 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:09:02 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:09:02 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:09:11 +0700] "GET /BachShop/cart.html HTTP/1.1" 404 671
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:09:11 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:11:42 +0700] "GET /BachShop/product_details.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:11:46 +0700] "GET /BachShop/product_details.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/ HTTP/1.1" 200 28571
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/user/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 697
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/img/shopping-cart-template.png HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/img/bootstrap-template.png HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/img/c.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/img/a.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/img/b.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/user/img/h.jpg HTTP/1.1" 200 29856
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/user/img/g.jpg HTTP/1.1" 200 31481
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:01 +0700] "GET /BachShop/assets/user/ico/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:03 +0700] "GET /BachShop/san-pham/1 HTTP/1.1" 200 17323
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:03 +0700] "GET /BachShop/san-pham/assets/img/a.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:03 +0700] "GET /BachShop/san-pham/assets/img/b.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:03 +0700] "GET /BachShop/san-pham/assets/img/c.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:03 +0700] "GET /BachShop/san-pham/assets/img/d.jpg HTTP/1.1" 404 699
